Somali,English,risk_category,risk_subcategory,risk_level
...Premier Bank ma soo dhawo oo casrigii jaahiliga ayay marayaan,"...Premier Bank is not welcoming, they are going through the era of ignorance.",Reputational > Ethical & Trust,,High
Premier Bank Waxaan idin hayaa fikir aad ugu duwanan karta bank giyada kajira wadanka...,"Premier Bank, I have an idea for you that could make you very different from other banks in the country...",General > Feedback,,Low
Meeshan waa meel aan la yaabay xarun booqo un bay garanayaan yaab,"This place surprises me; they only know 'visit the center/branch', it's strange.",Operational > Technical Support,,Medium
Faranti somalilnd kuqoran yahy malagu bixikara,Can one pay with a ring that has Somaliland written on it?,Operational > Technical Support,,Low
Suufiyinta abdiqadir jeylani sidan oo kle bu u khiyamay,"The Sufis, Abdiqadir Jeylani cheated/tricked them just like this.",,,
Pankigan ya igu caawiya 😢,Who can help me with this bank? 😢,,,
Meesha weli allow shiiqow soo kuma habooneyn mise waxkasto falcelinta xayey siintaa idinkala muhiimsanaatay,"Did Sheikh Allow not fit in there yet, or has the reaction to the advertisement become more important to you than everything else?",,,
,,,,
premier bank lacgta aad goosanysaan transtaction keedana aan la arkayn iska saxa si hufan wax walba u cadeeya,"Premier Bank, fix the money you are deducting where the transaction is not even visible; clarify everything transparently.",,,
Tuugnimadii aad dadka lacagtooda with out bank state ment aad kula bixi jirteen ma iska dayseena?,Have you stopped the thievery where you used to take people's money without a bank statement?,,,
Payment gateway giina siden u hella ma jiraan meherado isticmaala bal haday jiraan ii sheega,"How can I get your payment gateway? Are there any businesses using it? If there are, tell me.",,,
Markaa wareerto Dadkaan wada shiidka ah baad u malayni in ChatGPT ay rukumanayaan 🤣🤣🤣,"When you get confused, you think these broke people are subscribing to ChatGPT 🤣🤣🤣.",,,
Khidmadda Waalida iska Jarmayso Macmiisha ka Yareeya,Reduce the crazy service fees that deduct automatically from the customers.,,,
Sidee loo furan markaa,How is it opened then?,,,
Maxaan rukumanaa Virtual card-ka aad bixisaan waa mid meel aadan waligaa ku xisan isaga xirmaayo...,What should I subscribe to? The Virtual card you provide is one that closes itself in places you never expected...,,,
Lacago aanan la aqoonin bangiga iska jaranayo...,The bank is deducting unknown amounts of money...,,,
Somali ku soo dara,Add Somali language.,,,
Good wallet✅,Good wallet✅,,,
Asc asxaabay Peegkan dhamaantiin Fallow iso dhaha,"Peace friends, everyone on this page follow me.",,,
Ilaa hada wax bank ahaan u shaqeeyo kama jiraan dalka ee xawalado unbaa lamoodaa oo xifaaltan ka dhexeyo.,"Until now, there is nothing operating as a bank in the country; they just seem like Hawalas competing with each other.",,,
Qof Netherlands 🇳🇱 jooga oo aan waligii somali imanin sidee igu soo diri kara lacag,How can someone in the Netherlands 🇳🇱 who has never come to Somalia send me money?,,,
Car Switzerland 🇨🇭 lacag oga dir wallet,Try sending money to a wallet from Switzerland 🇨🇭.,,,
"Farsamadaan caadi ma ahan, waa Tiknoloojiya caadi ah. 🔥👀","This technique is not normal, it is extraordinary technology. 🔥👀",,,
nin dhagax buur jooga see looga dhaadhicin karaa fargal baa lacagi ku jirtaa,How can you convince a man in Dhagaxbuur that there is money inside a ring?,,,
Niyoo ani waxaan layaabe bankikaan qof kucaawiyo malahan... maybe malahan customer service,"Oh man, I am surprised by this bank, they have no one to help you... maybe they don't have customer service.",,,
Dad Qayilaya Ayala Customer Care Ka Idin Fadhiyo Account kina Waan Xiray Dadka Ha Waqtiga Haka Luminina,"You have people chewing Khat sitting as Customer Care, and I closed the account. Do not waste people's time.",,,
Hadi la iga dhaco kwrn😂,What if it is stolen from me? 😂,,,
kkkkkk hhhhhhh hadii leyga qato ka waran bro,"kkkkkk hhhhhhh what if it is taken from me, bro?",,,
This smart lkn Scure miyaa,This is smart but is it Secure?,,,
Mansha allah waan soo dhawaynaynaa,"Masha Allah, we welcome it.",,,
Horta adeega Zaad ban rabaa inan ka guuro side u isticmala kan halkee ka Furta,"First, I want to move from Zaad service; how do I use this one and where do I open it?",,,
Hadii tuugo iga dhacdo accountgaas lacagta kujirta waa udhamaatey,"If thieves steal it from me, the money in that account is finished.",,,
"Eng.yuyu, ma haysaa xal aan iskaga joojiyo fariin ii soo dhacaysa 3 sano oo ah sidan 😞","Eng. Yuyu, do you have a solution for me to stop a message that has been coming to me for 3 years like this 😞",,,
"Dear Cabdiwali , You have insufficient funds in your account for this transaction of amount 6.99 at APPLE.COM...","Dear Cabdiwali , You have insufficient funds in your account for this transaction of amount 6.99 at APPLE.COM...",,,
"Marka qalabkaas lacag leyga siiyo,waxaa jeebkeyga kabaxay lacag iyadoo intaas ay dheertahay inaan bilaash kuheli doonin...","When I pay with that device, money leaves my pocket... I won't get for free whatever else I was buying!",,,
Kawaran hdu farantiga igu jiro... sooma fududa in machinka tugo kensadaan si fududna ula bixi karaan lacagaha ?,What if I have the ring on... isn't it easy for thieves to bring a machine and easily take the money out?,,,
Premier Bank waxan jogaa kenya Siden ku heli karaa,"Premier Bank, I am in Kenya, how can I get it?",,,
Waxaa ka fikirooya inta video-gaan socdo maqaaxidaas customer ma imaan Mia 😂,"I am thinking, while this video is playing, did no customers come to that cafe? 😂",,,
Wax rabaa master card sidee u helaaa Premier Bank,"I want a Master Card, how do I get it Premier Bank?",,,
Waa scam hala iska ilaaliyo aduunka kama jiro qalabka gacanta lagu xirto misna bankigaaga aad ku xiratid...,"It is a scam, people should avoid it. It doesn't exist in the world that a wearable device connects to your bank...",,,
Eng dad qadeeyaa wax u sharaxeysaa waxaan premier bank ku isticmalno Allaha nasoo galiyo.,"Eng, you are explaining things to people who are eating lunch; may Allah give us something to use in Premier Bank.",,,
"Sida lacag loogu helo Ookiyaal, Faraanti,Jijin and Soo on nookeena waanu naqaanaa how to pay money-yee","Bring us how to get money via Glasses, Rings, Bracelets and so on, we already know how to pay money.",,,
It's much better to integrate with Apple's payment system to make easy and safer,It's much better to integrate with Apple's payment system to make easy and safer.,,,
Oo hadii mobileka la iga xadana soo la igalama bixi karo?,"And if my mobile is stolen, can't they take [money] out of it?",,,
Caadi maaha!,It's not normal! (It's amazing).,,,
Side anoo wadan kale jooga u samaysan karaa,How can I create one while I am in another country?,,,
Premier bank waa bank horumarsan waa la dhahaa balse wax horumar muuqdo ama isbadal ah oo lagusoo kordhiyay app-kooda ma arko,"Premier Bank is said to be a developed bank, but I don't see any visible progress or changes added to their app.",,,
Muhiim ma'ahan wax macno ahna ma sameyneyso in dalalkale lacag aan u dirnaa ee waxaa ka muhiimsan in bangiyada kale ee dalka inaad u diri kartaan...,It makes no sense that we send money to other countries; what is more important is that you can send to other banks in the country...,,,
Anoo wadanka kamaqan oo aan haysan number soomaali ma sameysan karaa akoon,Can I create an account while I am out of the country and don't have a Somali number?,,,
Saan dalka oga baxayba wax aan isaga ahayn ma isticmaalin,"Since I left the country, I haven't used anything else.",,,
Nio qaabkan wa jira anigane isticmali jiray balse dhibka ay ledahay qofka ku diro ayaa ogan karo mrka wan idinkaga digayaa qof wlba,"Bro, this method exists and I used to use it, but the problem is the sender can trace it, so I am warning everyone.",,,
Anigaaba isrlticmaali la accountigaygii War niman yohow naga daaya meesha flexibility ma taalo e,"I couldn't even use my own account. Hey guys, leave us alone, there is no flexibility there.",,,
Premier wallet dhowr mar ayan lacag kenya iyo Italy ugu diray masha Allah,"Premier wallet, I sent money to Kenya and Italy several times, Masha Allah.",,,
Masha alaah wallet premier Banki waa ku nastay markii sadaxaad labo bilood guduhood waxaan lacag uga diray habiryartey gaarisa Kenya...,"Masha Allah, I found relief with Premier Bank wallet. For the third time in two months, I sent money to my aunt in Garissa Kenya...",,,
Nimanyahahaw soomalia loomadirikaro,"You guys, it cannot be sent to Somalia.",,,
Aniga Shaq siyan Waxan ku amaanayaa Sida Dag Daga ah Macamilka Cawashada Qabo Ugu jawabayan.,"Personally, I praise them for how quickly they answer the customer who has a complaint.",,,
110 dal lacagta aan u dirayo xagee iiga imaanaysaa!,"The 110 countries I am sending money to, where is the money coming from for me?!",,,
hal dolar ber ayaa igu jiro malega bixinkara waalegu siray,"I have one dollar in it for tomorrow, can it be paid? You have been tricked.",,,
Sxb Maxaad Dib Noogu Celinaysaa Oo Nooga Luminaysaa Laba Daqiiqadood Anagoo Seconds Ku Dirayna Kuna Helayna Lacagta.,"Friend, why are you taking us back and wasting two minutes of our time when we were sending and receiving money in seconds?",,,
,,,,
Qofki furtana $kista uga farxini ku dara,"And whoever opens it, add some $ cash to make them happy.",,,
Weey fadhidaa alaabtaan,This stuff is down/not working (literally: sitting).,,,
Hal'abuur ahaa!,What an innovation!,,,
Haddaad Shuubo Balansanaysana mari!,"If you deposit, go through the appointment/schedule! (implying delays).",,,
nio rabkan adaa sameeyey miyaaa,"Bro, did you make this rap?",,,
Xayeysiin wee dhaaf tay tan Premier Bank 100%,"This has gone beyond advertising, Premier Bank 100%.",,,
Premier Bank ma sas bad u wareerten,"Premier Bank, have you become this confused?",,,
Wuu fidhiyaa,It is sitting/down (not working).,,,
Waxaas wxpa laguma helo adiina liita dadka wxba ha u xayeysiina,"You don't get anything from that, you are weak/poor, don't advertise anything to people.",,,
Xayey siin oo free isteel ah premier Bank,"Advertising that is free style, Premier Bank.",,,
"Keliya hal cilad unba la idin ku qaba, bila fasax ayaad qofka lacagtiisa isagala baxaysan",We only have one problem with you; you withdraw the person's money without permission.,,,
Wax badan cilad arkay maba ka qabanayan waqtiyada qaar,"I saw many errors, they don't even fix it sometimes.",,,
Wafi master card is the best,Wafi master card is the best.,,,
Kenya Maka qadan karaa,Can I get it in Kenya?,,,
Waxanu nahay ID kar,We need ID [cards].,,,
Premier Bank Best Somaalia,Premier Bank Best Somalia.,,,
Wlh waaa kadhisay,I swear you built it / nailed it.,,,
Tuugo tihiin wallhi iska soo celiya aad account kala baxdeen kadibna aad dhahdeen master card ka jaranay,"You are thieves, I swear return the money you took from the account and then said 'we deducted for master card'.",,,
3 years ayaa wax online kaga gadaayay lkn hadaa tugo noqoteen salaam bank furtay keliya lacagta isoo celiya,"I have been buying things online for 3 years, but now that you became thieves I opened Salaam Bank, just return my money.",,,
Laxankaan ustaadki waynaa Yusuf Mohamed miyaa saaray tolow?,I wonder if the great master Yusuf Mohamed put this melody on?,,,
"Masuuliyad maba qaadi karaan qolyahaan heesaha xayaysiiska moodaya, yaaba isku halayn kara.","These people who think songs are advertisements cannot take responsibility, who can rely on them?",,,
Waa bangiga kali eh ee maalgalin an bxin hadana yirahdo macashisa waa bixinaa,It is the only bank that does not provide investment but then says 'we pay profit'.,,,
Saving account world elite ma lagu sameesan karaa,Can a World Elite saving account be created?,,,
Premier Bank Zurich malooga casheyn karaa,"Premier Bank, can one have dinner in Zurich [using it]?",,,
Elite card muxuu uga duwan yahay kaarka caadiga ah,How is the Elite card different from the regular card?,,,
"First of all, consider customer care then advertise","First of all, consider customer care then advertise.",,,
Premier pank ❌ Free style pank ✅,Premier bank ❌ Free style bank ✅,,,
Bangiga kaliya ee lacagta kuugu jirta xili walba la bixi kara waaye kan aaminad ma galo,"It is the only bank where the money inside can be taken out at any time, this one cannot be trusted.",,,
Saan mee u fududahay,Is it this easy?,,,
Rafiiqayga Premier MasterCard dunida oo dhan ayaad kaga adeegan kartaa waa la hubaa,"My friend Premier MasterCard, you can shop with it all over the world, it is certain.",,,
Somali salaam pank magaraysaan war iyo dhamaantiis,"You won't reach/match Somali Salaam Bank, news and all.",,,
Qaabkee ma iisharxi kartaan,How? Can you explain to me?,,,
Sidee loo samesta premier bank wa rabaa inaa samesto,"How to create Premier Bank [account], I want to create one.",,,
Mastercard evc ma kula bixi karaa lacag anoo isticmaalaya mobileka gacanta,Can I withdraw money with Mastercard EVC while using the mobile phone?,,,
Beijing iga daayo damal free iga dhig hal mar,"Leave Beijing alone, make Damal free for me for once.",,,
Somali halaga saaro blacklisted Swift transfer,Somalia should be removed from the blacklisted Swift transfer.,,,
War adeeg xumadan iska daaya oo muddo laba isbuuca lacag aan account giina ku diray baan qof igu shuba bank account la ahay,"Hey, stop this bad service; for two weeks I have been waiting for money I sent to your account... I am a depositor.",,,
Poor quality service baad meesha ku haysan sababta shaqaale xumada,You have poor quality service there because of bad employees.,,,
Heesta ayaaba iga gadantay guuleesta prem. Bank,"The song itself sold me [on it], succeed Prem. Bank.",,,
Premier Bank Mastercard kayga io $5 dollar aawey,"Premier Bank, where is my Mastercard and $5 dollars?",,,
Xayesinta hala siyo dhalin yarada,The advertising should be given to the youth.,,,
Waa raab caadi eheyn,It is an extraordinary rap.,,,
"Premier Bank jir oo joog i,a","Premier Bank exist and stay, Insha Allah.",,,
,,,,
Abu Bakar Nuur: Hhhh xayeysiin aa Hees cml udhagaystay🤣😂xayeysiin Raab ah Faraska Madow waxuu la cadaan wayey hal abuur waye,"Hhhh, I listened to an advertisement that was like a song 🤣😂 a Rap advertisement; Faraska Madow [creator name] couldn't get lighter skin due this creativity.",,,
Eng Yuyu: Caddeyn uma baahna inuu Premier Mastercard wax kale yahay. 🤩,It needs no proof that Premier Mastercard is something else (exceptional). 🤩,,,
Abdinasir Osman Ahmed: VAR cidna idinkuma raadineyso ilaa aad ka bixisan 8.56$ aad account kala baxdeen aad soo celiseen kalsoni ma jireyso,"No one is checking VAR for you until you pay back the $8.56 you took from the account; until you return it, there is no trust.",,,
Ahmed Jaangoan: Xayeysiis rap ah! Woow tan xayeysiis waa dhaaftay. Waa hees rap ah.,"A rap advertisement! Wow, this has surpassed advertising. It is a rap song.",,,
"Mohamed Sholi: Anaa qirayo billahi, inaad bank kiyada kale ka fican tihin waxana tihin haqabtirayasha bulshada jiro jooga ✊😎",I testify by Allah that you are better than other banks and you are the ones satisfying the society; exist and stay.,,,
Abdkhadar Hassan Aden: Anoo sacuudiga jooga ayaa ku laandhereenaaye Premier Mastercard waliba NFC Machine mahadsanidiin,"While I am in Saudi Arabia, I am living large with Premier Mastercard, especially the NFC Machine, thank you.",,,
Apdullhi Hirzi: Maalinka aad deposit ATM aduunka laga samen karo aad kentaan ayaad top 1 noqondontaan,"The day you bring the ability to make ATM deposits from [anywhere in] the world, you will become top 1.",,,
Updyrahmaan Gahayr: Abti qaranka maxaad ugu so kala qabateen,"Uncle, why did you divide the nation like that?",,,
Mubarak Ahmed: Lacagta E-Vissa isaga ayay ku urursataan sow maaha.,"They collect the E-Visa money on it, don't they?",,,
Mohamed Zaid: Unfollow iska dhaha landers waxan qashinka Intan gacanta ula tagayno 😡,"Just say unfollow, Landers [Somalilanders], before we touch this trash. 😡",,,
Sakarie Mowlid Aden: Fack off khaaimiin ayaad tihii,"F*** off, you are traitors.",,,
Zhaafici Ibrahiim: Bankan vila wardhiglayba laga mamuula,This bank is managed from Villa Wardhiglay [Villa Somalia/Mogadishu Govt].,,,
Hassan Barawani: Lacagah kala baxa reer somaliland,"Withdraw your monies, people of Somaliland.",,,
Bashir Husen: Bangigaa waa in la iska ilaliyaaa,This bank must be avoided.,,,
Hassan Ibrahim Fiiqow: Salaam Somali Bank dagdag maqabto meel uma socoto... raabkaa rabtiin qaada shidanaaba shidan😂,"Salaam Somali Bank has no rush, it's not going anywhere... take whatever rap you want, it's already lit.",,,
Abdimajid Ali: Aniga tijaabyay dunidu igu xiray Waaba ciil-tiraha la sheego 😤,"I tested it, it connected me to the world. It is the 'anger-reliever' that is spoken of.",,,
"Mohamed Shaakir: Faanka, iyo Tayo xumida waxaad u tihiin HOGAAN.","For showing off and poor quality, you are LEADERS.",,,
Abdullahi Nasri: Lakiin hal dhib aya jirta mastercard waafi ma garaysan,"But there is one problem, it hasn't reached Waafi Mastercard [level].",,,
Zalim Upthii Mohmet: Dhiig miiratoy umada ka xishooda,"Bloodsuckers, have some shame in front of the public.",,,
Abdi Burcaawi: Tuug ayaad tihiin hawlahan aad ku jirtaan hadii aad ka bixin weydaan walaahy ganacsigiina ayuu ka go'an yahay...,"You are thieves; if you don't stop these activities, I swear your business will be cut off... you have a warning Premier Bank.",,,
Aqoonyahan Yahye Ibraahim: Dawlada somaliland waa inay talaabo idinka qaada,The Somaliland government must take action against you.,,,
Amir Lafole: Premier bank waxaan idinkula talin lahaa inaad sameysataan shirkad isgaarsiin...,"Premier Bank, I would advise you to create a telecommunication company...",,,
Yaaser Arafad: Xaaladiina Xayeysiiska inta may maroysaa... teamka Xayeysiinta idin Sameysey Jeebka ma u qoyseen ama qado ley u dalab teen...,"Has your advertising situation reached this level? ... The team that made the ad for you, did you wet their pockets [pay them well] or just order them lunch?",,,
Ayuub Sh Doon: Atm_yada dibadda marka lacag lagala baxaayo culees ayaa xagiina ka jiro ee iska xaliya,"When withdrawing money from ATMs abroad, there is a difficulty on your side, so fix it.",,,
Aadan Nuur Xuseen: Somaliland deg deg maxkamadaha haw saarto sherkada prinmer banka ee somalia ee kusoo duushey jirtaanka jamuuriyada Somaliland,Somaliland courts should immediately take action against the Premier Bank company of Somalia that has attacked the existence of the Somaliland Republic.,,,
Mustafe Qamarka: [Image Text] KACDOON SHACAB... CANCELLED premier bank,[Image Text] Public Uprising... CANCELLED Premier Bank.,,,
Mohamed Apdi Lahi: Somaliland way idinka dhamaatay!,Somaliland is finished for you!,,,
Abdifatah Kasim: Hadaan heestan xiftiyo tolow card bilaash ah ma leeyahay😂,"If I memorize this song, I wonder if I get a free card? 😂",,,
Zey Gedi: Musharka u kordhiya qolada xayeysiinta u xilsaaran. 🤩🤌🏽,Increase the salary for the team in charge of advertising. 🤩🤌🏽,,,
"NAhidaz Ali: Aad baa u xayeesiin badan tihiin, aadna waad u liidataam!","You advertise too much, and you are very weak/poor quality!",,,
Abdikadar Ahmed: Dahabshiil baan jawabta ka sugeenaa,We are waiting for the answer/response from Dahabshiil.,,,
Mohamed Shide Saleban: Balantayadi waa inaan abaalkiina Idin Marino berri meesha aad doonaysaan inaad khiyaamaysaan...,Our promise is that we will pay you back tomorrow; regarding the place you want to cheat... it is a promise that you will leave Somaliland.,,,
,,,,
,,,,
Waa inoo beri hadaan maydkiina qaadi waayo waxba hayga qorina,"It is on for tomorrow; if I fail to carry your dead bodies, don't write anything about me.",,,
Diyaar ahaadda shacabka Jamhuuriyadda Somaliland lacagihiina kala baxa bank maaha ee waa meel mooryaani leedahay,"Be ready, people of the Republic of Somaliland, withdraw your money; it is not a bank but a place owned by bandits/thugs.",,,
Tuugta waa in albaabada loo xidhaa aniga wallet lacagi igaga jirtay iga haystaan macal ducmantiga somaliland ma aqonsanin ayay ku dhahayan,The thieves must be closed down; they are holding my money in a wallet because they say they don't recognize Somaliland documents.,,,
Post gan falcelinta bulshada ayay ku fiirinayaan 🤣🤣,"With this post, they are checking the public's reaction 🤣🤣.",,,
"Wixiina kala soo baxa waxani bank ma ahne, maalin dhow albaabada ayaa loo laabayaa tuugada, bank wuxuu qabilsan yahay in lacagta lagu dhaqo dadka masaakiinta ah cashuurta looga qaado","Withdraw your things, this is not a bank; soon the doors will be closed on these thieves. A bank is supposed to launder money (?) and take taxes from poor people.",,,
Khamiista goob kasta oo slnd ku taala hala burburiyo lacag ahana kala sii baxa kaadhadhkoodana u daadiya,"On Thursday, destroy every location in Somaliland, withdraw money beforehand and throw away their cards.",,,
Premier Bank waa in laga tashadaa reer somaliland,"Premier Bank must be decided upon [dealt with], people of Somaliland.",,,
Waaan laga guuraa Mar hadaad Qayb ka tihiin dhibaataynta Dalkayaga,We are moving away [from you] since you are part of the harming of our country.,,,
Waa inuu beri nio,"It must be tomorrow, bro.",,,
Tuugo umada xaday,Thieves who stole from the nation.,,,
Wax yarbaa ka hadhayw khamiista halagaadho allihiin baad u aamusantihiine anaga qaranlayaga kama kaftanee,"Little time is left, let Thursday arrive; you are silent for your God [shocked], but we do not joke about our nationhood.",,,
Dalka kabaxa,Get out of the country.,,,
Mid Baasaboor ka Somalia turkey ga ku joogo ayaa ku leh xogtiina privacy maahan indha Adeeg badan wuxu fifa premier wallet ✌️😎,"One with a Somalia passport staying in Turkey is telling you your data isn't private; so much impudence, this thing is FIFA Premier wallet.",,,
KACDOON SHACAB... CANCELLED premier bank,PUBLIC UPRISING... CANCELLED Premier Bank.,,,
Dalkyga so faragaliseen somaha,"You interfered in my country, didn't you.",,,
Please use dahabshiil and daraslam bank,Please use dahabshiil and daraslam bank.,,,
Wa ino iyo barri tuugayahay qaran dumiskii,"It is between us and tomorrow, you thieves, destroyers of the nation.",,,
Bank wixii lacag idinku jirta waa inad kala baxdaan reer SOMALILAND waa cadowga dalka buu ka mid yahay ee mafiada XAMAR lugta u qabtay bulshada somaliland,"People of Somaliland must withdraw whatever money is in the bank; it is one of the enemies of the country, the XAMAR [Mogadishu] mafia that has grabbed the leg of the Somaliland society.",,,
dadka maxaa ka qaldan premier bank ma dowlad buu idinla eekaday waa xarun ganacsi oo dowlad iyo shacab ba ciday doonta accoun ka furan karto...,What is wrong with people? Did Premier Bank look like a government to you? It is a business center where government or public or anyone can open an account...,,,
Daalimiin,Oppressors/Tyrants.,,,
Premier wallet lhayninee iga soo doonta Mastercard kiinaan intaanaan gubin qashinyahay,"I don't have Premier wallet, come get your Mastercard from me before I burn it, you trash.",,,
Shaqo wacan,Good work.,,,
Naga soo hagaaga Ey ey dhashy baa tihiin,"Fix yourselves for us, you are dogs born of dogs.",,,
Premier Bank to the world Foostadii ugu weyn abid baa niila soo riixay oo dhanka ganacsiga ah...,"Premier Bank to the world, the biggest barrel ever has been pushed towards us in terms of business...",,,
Khamiista bal hafurnato walahi Somaliland waad ka guuraysan somalia kaliya ku eekandoontaan,"Just let it be open on Thursday, I swear you will move out of Somaliland, you will be limited to Somalia only.",,,
Munaafiqiinti qaranka wa ino bari i.a,"The hypocrites of the nation, it is tomorrow for us, Insha Allah.",,,
Aroorta 13 November hassan bahane bal wax Hayden qabto cadho ha lawada saro 😡,"On the morning of November 13th, Hassan Bahane, let's see what you have, let everyone mount their anger 😡.",,,
E Visa imisa iidinka soo xarooday????,How much revenue came to you from E-Visa????,,,
Somalilamd Kama sii jiraysaan dagaalka aadkula jirtaan dalkayaguna maaha mid aad ka macashi doontaan insha Allah,"You will not continue to exist in Somaliland; the war you are waging against our country is not one you will profit from, Insha Allah.",,,
Horumar wacan,Good progress.,,,
lacaga kla baxa dhamaan,Withdraw all the money.,,,
Waa laydinka qabanayaaa dalka dhowaan,You will be stopped from the country soon.,,,
Jaabir Kayse Cali shir saxafaded kii ay qabanayeen ma kan baa kkkkkkkkk,"Jaabir Kayse Cali, was the press conference they were holding about this? kkkkkkk.",,,
PREMIER BANK WAA BANK DALKA HORUMAR KU SOO KODHIYAY,PREMIER BANK IS A BANK THAT BROUGHT PROGRESS TO THE COUNTRY.,,,
Un fellow waa bangi qaran dumisa yaan waxba la dhigan,"Unfollow, it is a nation-destroying bank, don't deposit anything.",,,
Dhibta Shacabka reer Somaliland ee Qaybta ka noqoteen waxay sababi doontaa inaad kacdaan isla markaana Maxkamad laydin saari doono.,The harm to the people of Somaliland that you became part of will cause you to go bankrupt and also you will be put on trial.,,,
Ka yaaca. Ka yaaca baad ururiyaasha shisheeyaha.,"Run away from it. Run away from it, you collectors of foreigners.",,,
Beri wlhy wa la burburinaya xarumihiina hadaan midh nagasoo hadhayn nacala idin dhalee,"Tomorrow, I swear, your centers will be destroyed if even one of us is left, curse on you.",,,
War wa laydin shidaya khamista suga anagu wxa ma qorne😂,"Hey, you will be lit up [trouble coming], wait for Thursday, we don't just write things 😂.",,,
When are you going to add options from crypto to Premier Bank account.,When are you going to add options from crypto to Premier Bank account.,,,
Waa inaad Premier Bank Somaliland ku qortaan Page kiina Hadii kle talaabo aydan mahadin by shacabka Somaliland idinka qaadayaan.,"You must write 'Premier Bank Somaliland' on your Page; otherwise, the people of Somaliland will take a step/action you will not appreciate against you.",,,
Tuugta xamar la shaqeysa wadanka waa ladinka saaraya,The thieves working with Xamar [Mogadishu] will be removed from the country.,,,
War munaafiqiin baad tihiin xasan gurguurte ushaqaynayaa kabaxa soomaliland 😂,"Hey, you are hypocrites working for Hassan Gurguurte [President Hassan Sheikh], get out of Somaliland 😂.",,,
Dooni mayo premier bank futadii xasan sheikh,"I don't want Premier Bank, the ass of Hassan Sheikh.",,,
Koonto maxaad ka wadaan wamaxy afkaasi,"What are you doing with 'Koonto' [Account], what language is that?",,,
"Hadiiba aad bilowdeen inaad reer Soomaliland lacag baad ah oo xaaran ah uga qaadan Xasan Sheekh, Somaliland way idiinka dhamaatay...","Since you have started taking extortion money and haram money from the people of Somaliland for Hassan Sheikh, Somaliland is finished for you...",,,
Tuugo,Thieves.,,,
Waa In ber iyo khamista,It is [between us] tomorrow and Thursday.,,,
Tuugta khiyaano qaran,The thieves of national treason.,,,
Come Soon Nov 13 Malinti Qaranka😂😂,"Come Soon Nov 13, National Day 😂😂.",,,
Waar is diyaariya bati tuugyahay khaayinul wadanka ahi lacagtayadiina waa idinka la baxnay wadankana waad nooga baxaysaan be ready tomorrow,"Prepare yourselves, you big thieves, traitors of the country; we withdrew our money from you and you are leaving the country for us, be ready tomorrow.",,,
waana iska saare maxaa adeeg ah,"And I removed it, what kind of service is this.",,,
Wallet maanu ld numar lahayn,Doesn't the Wallet have an ID number?,,,
Lacagtaydii waan kala baxay premier bank,I withdrew my money from Premier Bank.,,,
Bank caalami ah,International Bank.,,,
Wallet la idiinkama fadhiyo ee eedda ama iska duwa oo qodob aanu aqbli karno la gole yimaada...,We don't expect/want a Wallet from you; either clear the accusation and come to the public with a point we can accept...,,,
,,,,
